Date,Market Cap,Enterprise Value,PE Ratio,Forward PE,Price to Book,Dividend Yield
2020-03-31,132000000000,110000000000,80.5,50.3,15.2,0.02
2020-06-30,250000000000,220000000000,90.2,55.1,18.5,0.02
2020-09-30,380000000000,350000000000,100.3,60.2,22.1,0.02
2020-12-31,500000000000,470000000000,110.5,65.4,25.6,0.02
2021-03-31,600000000000,570000000000,120.1,70.5,28.3,0.02
2021-06-30,750000000000,720000000000,130.4,75.6,32.1,0.02
2021-09-30,900000000000,870000000000,140.2,80.7,35.9,0.02
2021-12-31,1100000000000,1070000000000,150.3,85.8,40.2,0.02
2022-03-31,650000000000,620000000000,45.6,40.3,25.1,0.02
2022-06-30,450000000000,420000000000,40.2,35.7,22.5,0.02
2022-09-30,350000000000,320000000000,35.8,30.5,20.1,0.02
2022-12-31,400000000000,370000000000,37.5,32.6,21.3,0.02
2023-03-31,700000000000,670000000000,50.2,45.1,30.5,0.02
2023-06-30,1000000000000,970000000000,60.3,55.2,40.1,0.02
2023-09-30,1200000000000,1170000000000,65.4,60.3,45.2,0.02
2023-12-31,1400000000000,1370000000000,70.5,65.4,50.3,0.02
2024-03-31,1800000000000,1770000000000,75.6,70.5,55.4,0.02
2024-06-30,2400000000000,2370000000000,80.7,75.6,60.5,0.02
2024-09-30,2800000000000,2770000000000,85.8,80.7,65.6,0.02
2024-12-31,3300000000000,3270000000000,90.9,85.8,70.7,0.02
